"Qty";"Value";"Device";"Package";"Parts";"Description";"DIGIKEY";"MANUFACTURER_PART_NUMBER";
"1";"120";"RES_0603";"0603";"R1";"Resistor, 0603, 0.1 W, +-1%";"";"";
"4";"20";"RES_0603";"0603";"R3, R4, R6, R7";"Resistor, 0603, 0.1 W, +-1%";"";"";
"2";"60";"RES_0603";"0603";"R2, R5";"Resistor, 0603, 0.1 W, +-1%";"";"";
"1";"CON_1X14_90_DUBOX_MALE";"CON_1X14_90_DUBOX_MALE";"CON_1X14_90_DUBOX_MALE";"P2";"Dubox, 1x14Pin, 2.54 Raster";"";"";
"1";"CON_USB_UJ2-MIBH-4-SMT-TR-67";"CON_USB_UJ2-MIBH-4-SMT-TR-67";"CON_USB_UJ2-MIBH-4-SMT-TR-67";"P1";"Micro B USB Buchse, 90° PCB Mount UJ2-MIBH-4-SMT-TR-67";"";"";
"2";"EG5358CT-ND_PB";"EG5358CT-ND_PB";"EG5358CT-ND_PB";"S1, S2";"Push Button, 90° PCB Mount, TL3360CF185Q";"";"";
"3";"MSL0104RGBU1";"MSL0104RGBU1";"MSL0104RGBU1_LED_90°_RGB";"LED1, LED2, LED3";"LED RGB 2.1V, 3.3V, 3.2V @20mA, MSL0104RGBU1";"MSL0104RGBU1CT-ND";"MSL0104RGBU1";
